,Unnamed: 0,pub_date,actual,forecast,previous,rolling_std,z-score,1,5,6,7
214,214,2012-05-24,77,77,61,47.6556461089408,0.0,77.639999,75.279999,2026600,-0.004770748576355288
215,215,2012-05-31,71,75,77,37.69766088716426,-0.10610737923429002,66.839996,67.160004,4093700,-0.11413659022478395
216,216,2012-06-07,62,57,71,22.970831306443554,0.21766735096772266,66.800003,63.240002000000004,3170100,-0.06014084780177509
217,217,2012-06-14,67,55,62,21.462264276603804,0.5591208758472563,61.560001,70.120003,6899300,0.10327105887000787
218,218,2012-06-21,62,64,67,21.70183625801496,-0.09215810018202293,70.040001,71.519997,5171800,0.0197689860821173
219,219,2012-06-28,57,55,62,21.735845272198766,0.09201390490932967,76.559998,75.519997,4192000,0.05442039319371883
220,220,2012-07-06,39,44,57,17.836802268105977,-0.28031930414682626,80.279999,75.959999,6629200,0.0058093906665934725
221,221,2012-07-12,33,27,39,16.851400445354454,0.35605349356314553,77.08000200000002,78.360001,6310400,0.031106733058691383
222,222,2012-07-19,28,34,33,18.281262140632986,-0.3282049102432624,80.400002,82.199997,2729700,0.04784165972782972
223,223,2012-07-26,26,26,28,18.520054650092682,0.0,84.480003,84.559998,2624700,0.02830605234435435
224,224,2012-08-02,28,22,26,18.734791812091746,0.32025976376889875,84.839996,80.0,4340900,-0.055434683236256
225,225,2012-08-09,24,30,28,19.93094137873121,-0.3010394685322162,79.720001,79.559998,4459000,-0.005515205826370995
226,226,2012-08-16,20,25,24,19.12379922948611,-0.2614543240074771,75.760002,74.32,3657300,-0.06813133434192764
227,227,2012-08-23,47,40,20,17.085125552699687,0.4097131143934675,77.040001,76.879997,4411700,0.03386563113460195
228,228,2012-08-30,66,65,47,17.56265838923499,0.05693898826916481,72.720001,74.199997,2927100,-0.03548161589811727
229,229,2012-09-06,28,40,66,15.930721226230645,-0.7532615648462584,74.720001,74.519997,2545700,0.0043033957336708895
230,230,2012-09-13,27,26,28,14.290015586224618,0.06997892997149607,81.559998,81.360001,3327700,0.08781625855561881
