Start_Time,Stop_Time,N_Bikes,Station_Name
2017-01-02 T11:20 Z,2017-01-02 T11:40 Z,1,Pershing Square North
2017-01-02 T11:40 Z,2017-01-02 T12:00 Z,0,Pershing Square North
2017-01-02 T12:00 Z,2017-01-02 T12:20 Z,2,Pershing Square North
2017-01-02 T12:20 Z,2017-01-02 T12:40 Z,1,Pershing Square North
2017-01-02 T12:40 Z,2017-01-02 T13:00 Z,1,Pershing Square North
2017-01-02 T13:00 Z,2017-01-02 T13:20 Z,4,Pershing Square North
2017-01-02 T13:20 Z,2017-01-02 T13:40 Z,2,Pershing Square North
2017-01-02 T13:40 Z,2017-01-02 T14:00 Z,1,Pershing Square North
2017-01-02 T14:00 Z,2017-01-02 T14:20 Z,1,Pershing Square North
2017-01-02 T14:20 Z,2017-01-02 T14:40 Z,1,Pershing Square North
2017-01-02 T14:40 Z,2017-01-02 T15:00 Z,2,Pershing Square North
2017-01-02 T15:00 Z,2017-01-02 T15:20 Z,2,Pershing Square North
2017-01-02 T15:20 Z,2017-01-02 T15:40 Z,3,Pershing Square North
2017-01-02 T15:40 Z,2017-01-02 T16:00 Z,0,Pershing Square North
2017-01-02 T16:00 Z,2017-01-02 T16:20 Z,0,Pershing Square North
2017-01-02 T16:20 Z,2017-01-02 T16:40 Z,1,Pershing Square North
2017-01-02 T16:40 Z,2017-01-02 T17:00 Z,0,Pershing Square North
2017-01-02 T17:00 Z,2017-01-02 T17:20 Z,0,Pershing Square North
2017-01-02 T17:20 Z,2017-01-02 T17:40 Z,1,Pershing Square North
2017-01-02 T17:40 Z,2017-01-02 T18:00 Z,1,Pershing Square North
2017-01-02 T18:00 Z,2017-01-02 T18:20 Z,0,Pershing Square North
2017-01-02 T18:20 Z,2017-01-02 T18:40 Z,1,Pershing Square North
2017-01-02 T18:40 Z,2017-01-02 T19:00 Z,0,Pershing Square North
2017-01-02 T19:00 Z,2017-01-02 T19:20 Z,1,Pershing Square North
2017-01-02 T19:20 Z,2017-01-02 T19:40 Z,1,Pershing Square North
2017-01-02 T19:40 Z,2017-01-02 T20:00 Z,2,Pershing Square North
2017-01-02 T20:00 Z,2017-01-02 T20:20 Z,1,Pershing Square North
2017-01-02 T20:20 Z,2017-01-02 T20:40 Z,0,Pershing Square North
2017-01-02 T20:40 Z,2017-01-02 T21:00 Z,0,Pershing Square North
2017-01-02 T21:00 Z,2017-01-02 T21:20 Z,1,Pershing Square North
2017-01-02 T21:20 Z,2017-01-02 T21:40 Z,2,Pershing Square North
2017-01-02 T21:40 Z,2017-01-02 T22:00 Z,0,Pershing Square North
2017-01-02 T22:00 Z,2017-01-02 T22:20 Z,0,Pershing Square North
2017-01-02 T22:20 Z,2017-01-02 T22:40 Z,0,Pershing Square North
2017-01-02 T22:40 Z,2017-01-02 T23:00 Z,1,Pershing Square North
2017-01-02 T23:00 Z,2017-01-02 T23:20 Z,0,Pershing Square North
2017-01-02 T23:20 Z,2017-01-02 T23:40 Z,0,Pershing Square North
2017-01-02 T23:40 Z,2017-01-03 T00:00 Z,1,Pershing Square North
2017-01-03 T00:00 Z,2017-01-03 T00:20 Z,1,Pershing Square North
2017-01-03 T00:20 Z,2017-01-03 T00:40 Z,0,Pershing Square North
2017-01-03 T00:40 Z,2017-01-03 T01:00 Z,0,Pershing Square North
2017-01-03 T01:00 Z,2017-01-03 T01:20 Z,0,Pershing Square North
2017-01-03 T01:20 Z,2017-01-03 T01:40 Z,0,Pershing Square North
2017-01-03 T01:40 Z,2017-01-03 T02:00 Z,0,Pershing Square North
2017-01-03 T02:00 Z,2017-01-03 T02:20 Z,0,Pershing Square North
2017-01-03 T02:20 Z,2017-01-03 T02:40 Z,0,Pershing Square North
2017-01-03 T02:40 Z,2017-01-03 T03:00 Z,0,Pershing Square North
2017-01-03 T03:00 Z,2017-01-03 T03:20 Z,0,Pershing Square North
2017-01-03 T03:20 Z,2017-01-03 T03:40 Z,0,Pershing Square North
2017-01-03 T03:40 Z,2017-01-03 T04:00 Z,0,Pershing Square North
2017-01-03 T04:00 Z,2017-01-03 T04:20 Z,0,Pershing Square North
2017-01-03 T04:20 Z,2017-01-03 T04:40 Z,1,Pershing Square North
2017-01-03 T04:40 Z,2017-01-03 T05:00 Z,0,Pershing Square North
2017-01-03 T05:00 Z,2017-01-03 T05:20 Z,0,Pershing Square North
2017-01-03 T05:20 Z,2017-01-03 T05:40 Z,0,Pershing Square North
2017-01-03 T05:40 Z,2017-01-03 T06:00 Z,4,Pershing Square North
2017-01-03 T06:00 Z,2017-01-03 T06:20 Z,4,Pershing Square North
2017-01-03 T06:20 Z,2017-01-03 T06:40 Z,5,Pershing Square North
2017-01-03 T06:40 Z,2017-01-03 T07:00 Z,4,Pershing Square North
2017-01-03 T07:00 Z,2017-01-03 T07:20 Z,8,Pershing Square North
2017-01-03 T07:20 Z,2017-01-03 T07:40 Z,9,Pershing Square North
2017-01-03 T07:40 Z,2017-01-03 T08:00 Z,8,Pershing Square North
2017-01-03 T08:00 Z,2017-01-03 T08:20 Z,10,Pershing Square North
2017-01-03 T08:20 Z,2017-01-03 T08:40 Z,7,Pershing Square North
2017-01-03 T08:40 Z,2017-01-03 T09:00 Z,9,Pershing Square North
2017-01-03 T09:00 Z,2017-01-03 T09:20 Z,10,Pershing Square North
2017-01-03 T09:20 Z,2017-01-03 T09:40 Z,8,Pershing Square North
2017-01-03 T09:40 Z,2017-01-03 T10:00 Z,7,Pershing Square North
2017-01-03 T10:00 Z,2017-01-03 T10:20 Z,1,Pershing Square North
2017-01-03 T10:20 Z,2017-01-03 T10:40 Z,1,Pershing Square North
2017-01-03 T10:40 Z,2017-01-03 T11:00 Z,0,Pershing Square North
2017-01-03 T11:00 Z,2017-01-03 T11:20 Z,2,Pershing Square North
2017-01-03 T11:20 Z,2017-01-03 T11:40 Z,0,Pershing Square North
2017-01-03 T11:40 Z,2017-01-03 T12:00 Z,0,Pershing Square North
2017-01-03 T12:00 Z,2017-01-03 T12:20 Z,1,Pershing Square North
2017-01-03 T12:20 Z,2017-01-03 T12:40 Z,1,Pershing Square North
2017-01-03 T12:40 Z,2017-01-03 T13:00 Z,0,Pershing Square North
2017-01-03 T13:00 Z,2017-01-03 T13:20 Z,0,Pershing Square North
2017-01-03 T13:20 Z,2017-01-03 T13:40 Z,0,Pershing Square North
2017-01-03 T13:40 Z,2017-01-03 T14:00 Z,0,Pershing Square North
2017-01-03 T14:00 Z,2017-01-03 T14:20 Z,1,Pershing Square North
2017-01-03 T14:20 Z,2017-01-03 T14:40 Z,0,Pershing Square North
2017-01-03 T14:40 Z,2017-01-03 T15:00 Z,1,Pershing Square North
2017-01-03 T15:00 Z,2017-01-03 T15:20 Z,1,Pershing Square North
2017-01-03 T15:20 Z,2017-01-03 T15:40 Z,1,Pershing Square North
2017-01-03 T15:40 Z,2017-01-03 T16:00 Z,3,Pershing Square North
2017-01-03 T16:00 Z,2017-01-03 T16:20 Z,2,Pershing Square North
2017-01-03 T16:20 Z,2017-01-03 T16:40 Z,4,Pershing Square North
2017-01-03 T16:40 Z,2017-01-03 T17:00 Z,5,Pershing Square North
2017-01-03 T17:00 Z,2017-01-03 T17:20 Z,3,Pershing Square North
2017-01-03 T17:20 Z,2017-01-03 T17:40 Z,9,Pershing Square North
2017-01-03 T17:40 Z,2017-01-03 T18:00 Z,9,Pershing Square North
2017-01-03 T18:00 Z,2017-01-03 T18:20 Z,6,Pershing Square North
2017-01-03 T18:20 Z,2017-01-03 T18:40 Z,7,Pershing Square North
2017-01-03 T18:40 Z,2017-01-03 T19:00 Z,7,Pershing Square North
2017-01-03 T19:00 Z,2017-01-03 T19:20 Z,5,Pershing Square North
2017-01-03 T19:20 Z,2017-01-03 T19:40 Z,7,Pershing Square North
2017-01-03 T19:40 Z,2017-01-03 T20:00 Z,5,Pershing Square North
2017-01-03 T20:00 Z,2017-01-03 T20:20 Z,4,Pershing Square North
2017-01-03 T20:20 Z,2017-01-03 T20:40 Z,3,Pershing Square North
2017-01-03 T20:40 Z,2017-01-03 T21:00 Z,0,Pershing Square North
2017-01-03 T21:00 Z,2017-01-03 T21:20 Z,0,Pershing Square North
2017-01-03 T21:20 Z,2017-01-03 T21:40 Z,0,Pershing Square North
2017-01-03 T21:40 Z,2017-01-03 T22:00 Z,3,Pershing Square North
2017-01-03 T22:00 Z,2017-01-03 T22:20 Z,2,Pershing Square North
2017-01-03 T22:20 Z,2017-01-03 T22:40 Z,0,Pershing Square North
2017-01-03 T22:40 Z,2017-01-03 T23:00 Z,1,Pershing Square North
2017-01-03 T23:00 Z,2017-01-03 T23:20 Z,0,Pershing Square North
2017-01-03 T23:20 Z,2017-01-03 T23:40 Z,0,Pershing Square North
2017-01-03 T23:40 Z,2017-01-04 T00:00 Z,0,Pershing Square North
2017-01-04 T00:00 Z,2017-01-04 T00:20 Z,0,Pershing Square North
2017-01-04 T00:20 Z,2017-01-04 T00:40 Z,0,Pershing Square North
2017-01-04 T00:40 Z,2017-01-04 T01:00 Z,0,Pershing Square North
2017-01-04 T01:00 Z,2017-01-04 T01:20 Z,2,Pershing Square North
2017-01-04 T01:20 Z,2017-01-04 T01:40 Z,0,Pershing Square North
2017-01-04 T01:40 Z,2017-01-04 T02:00 Z,0,Pershing Square North
2017-01-04 T02:00 Z,2017-01-04 T02:20 Z,1,Pershing Square North
2017-01-04 T02:20 Z,2017-01-04 T02:40 Z,0,Pershing Square North
2017-01-04 T02:40 Z,2017-01-04 T03:00 Z,0,Pershing Square North
2017-01-04 T03:00 Z,2017-01-04 T03:20 Z,0,Pershing Square North
2017-01-04 T03:20 Z,2017-01-04 T03:40 Z,0,Pershing Square North
2017-01-04 T03:40 Z,2017-01-04 T04:00 Z,0,Pershing Square North
2017-01-04 T04:00 Z,2017-01-04 T04:20 Z,0,Pershing Square North
2017-01-04 T04:20 Z,2017-01-04 T04:40 Z,0,Pershing Square North
2017-01-04 T04:40 Z,2017-01-04 T05:00 Z,0,Pershing Square North
2017-01-04 T05:00 Z,2017-01-04 T05:20 Z,0,Pershing Square North
2017-01-04 T05:20 Z,2017-01-04 T05:40 Z,0,Pershing Square North
2017-01-04 T05:40 Z,2017-01-04 T06:00 Z,6,Pershing Square North
2017-01-04 T06:00 Z,2017-01-04 T06:20 Z,7,Pershing Square North
2017-01-04 T06:20 Z,2017-01-04 T06:40 Z,7,Pershing Square North
2017-01-04 T06:40 Z,2017-01-04 T07:00 Z,13,Pershing Square North
2017-01-04 T07:00 Z,2017-01-04 T07:20 Z,13,Pershing Square North
2017-01-04 T07:20 Z,2017-01-04 T07:40 Z,21,Pershing Square North
2017-01-04 T07:40 Z,2017-01-04 T08:00 Z,14,Pershing Square North
2017-01-04 T08:00 Z,2017-01-04 T08:20 Z,16,Pershing Square North
2017-01-04 T08:20 Z,2017-01-04 T08:40 Z,33,Pershing Square North
2017-01-04 T08:40 Z,2017-01-04 T09:00 Z,23,Pershing Square North
2017-01-04 T09:00 Z,2017-01-04 T09:20 Z,20,Pershing Square North
2017-01-04 T09:20 Z,2017-01-04 T09:40 Z,17,Pershing Square North
2017-01-04 T09:40 Z,2017-01-04 T10:00 Z,10,Pershing Square North
2017-01-04 T10:00 Z,2017-01-04 T10:20 Z,3,Pershing Square North
2017-01-04 T10:20 Z,2017-01-04 T10:40 Z,6,Pershing Square North
2017-01-04 T10:40 Z,2017-01-04 T11:00 Z,1,Pershing Square North
2017-01-04 T11:00 Z,2017-01-04 T11:20 Z,0,Pershing Square North
2017-01-04 T11:20 Z,2017-01-04 T11:40 Z,3,Pershing Square North
2017-01-04 T11:40 Z,2017-01-04 T12:00 Z,3,Pershing Square North
2017-01-04 T12:00 Z,2017-01-04 T12:20 Z,3,Pershing Square North
2017-01-04 T12:20 Z,2017-01-04 T12:40 Z,3,Pershing Square North
2017-01-04 T12:40 Z,2017-01-04 T13:00 Z,3,Pershing Square North
2017-01-04 T13:00 Z,2017-01-04 T13:20 Z,4,Pershing Square North
2017-01-04 T13:20 Z,2017-01-04 T13:40 Z,3,Pershing Square North
2017-01-04 T13:40 Z,2017-01-04 T14:00 Z,3,Pershing Square North
2017-01-04 T14:00 Z,2017-01-04 T14:20 Z,2,Pershing Square North
2017-01-04 T14:20 Z,2017-01-04 T14:40 Z,5,Pershing Square North
2017-01-04 T14:40 Z,2017-01-04 T15:00 Z,4,Pershing Square North
2017-01-04 T15:00 Z,2017-01-04 T15:20 Z,2,Pershing Square North
2017-01-04 T15:20 Z,2017-01-04 T15:40 Z,7,Pershing Square North
2017-01-04 T15:40 Z,2017-01-04 T16:00 Z,5,Pershing Square North
2017-01-04 T16:00 Z,2017-01-04 T16:20 Z,7,Pershing Square North
2017-01-04 T16:20 Z,2017-01-04 T16:40 Z,11,Pershing Square North
2017-01-04 T16:40 Z,2017-01-04 T17:00 Z,15,Pershing Square North
2017-01-04 T17:00 Z,2017-01-04 T17:20 Z,24,Pershing Square North
2017-01-04 T17:20 Z,2017-01-04 T17:40 Z,10,Pershing Square North
2017-01-04 T17:40 Z,2017-01-04 T18:00 Z,24,Pershing Square North
2017-01-04 T18:00 Z,2017-01-04 T18:20 Z,25,Pershing Square North
2017-01-04 T18:20 Z,2017-01-04 T18:40 Z,31,Pershing Square North
2017-01-04 T18:40 Z,2017-01-04 T19:00 Z,20,Pershing Square North
2017-01-04 T19:00 Z,2017-01-04 T19:20 Z,24,Pershing Square North
2017-01-04 T19:20 Z,2017-01-04 T19:40 Z,21,Pershing Square North
2017-01-04 T19:40 Z,2017-01-04 T20:00 Z,13,Pershing Square North
2017-01-04 T20:00 Z,2017-01-04 T20:20 Z,7,Pershing Square North
2017-01-04 T20:20 Z,2017-01-04 T20:40 Z,3,Pershing Square North
2017-01-04 T20:40 Z,2017-01-04 T21:00 Z,2,Pershing Square North
2017-01-04 T21:00 Z,2017-01-04 T21:20 Z,3,Pershing Square North
2017-01-04 T21:20 Z,2017-01-04 T21:40 Z,1,Pershing Square North
