,distance
186,0.006969794203663065
187,0.006855993018339405
188,0.011767892997555995
189,0.006683108536583598
190,0.0021818817089124527
191,0.017532202601001023
192,0.017193869926927095
193,0.005903866147165988
194,0.005008386145137504
195,0.0003401118544808731
196,0.03241401424544264
197,0.005200670115989193
198,0.013150842222287575
199,0.013946152284170303
200,0.001997841393282962
201,0.011396387535722417
202,0.0014182888297300763
203,0.012288422745372852
204,0.00041232519082065947
205,0.015169490607510702
206,0.00486377158901448
207,0.006855993018339405
208,0.0018306140205507702
209,0.014801408788467321
210,0.0016577295388020526
211,0.017056066390910438
212,0.012031606536209197
213,0.006855993018339405
214,0.00016722737272531975
215,0.00041232519082065947
216,0.004767643645539826
217,0.0033700560954305417
218,0.015169490607510702
219,0.02154049914543986
220,0.001997841393282962
221,0.0005795525635528325
222,0.006153774397917877
223,0.00041232519082065947
224,0.00041232519082065947
225,0.0050253789977866125
226,0.00041232519082065947
227,0.008947295224464536
228,0.00785188343401425
229,0.00041232519082065947
230,0.006855993018339405
231,0.03241401424544264
232,0.006855993018339405
233,0.006855993018339405
234,0.0033700560954305417
235,0.004767643645539826
236,0.006443667827525014
237,0.014286264138653347
238,0.012134542778175607
239,0.012134542778175607
240,0.001997841393282962
241,0.004012495729463737
242,0.006855993018339405
243,0.006855993018339405
244,0.0105585177736342
245,0.00041232519082065947
246,0.006153774397917877
247,0.0051357254645877015
248,0.00041232519082065947
249,0.013150842222287575
250,0.0035429405771861613
251,0.014801408788467321
252,0.013150842222287575
253,0.010033765142925359
254,0.0
255,0.006969794203663065
256,0.00041232519082065947
257,0.006969794203663065
258,0.00486377158901448
259,0.00486377158901448
260,0.0033700560954305417
261,0.02589297432168078
262,0.021748987686525965
263,0.006780798377479884
264,0.022698178775731135
265,0.014161911494415437
266,0.012288422745372852
267,0.011452053972653807
268,0.004767643645539826
269,0.0035429405771861613
270,0.012456054680893964
271,0.004767643645539826
272,0.0050253789977866125
273,0.013150842222287575
274,0.003349354815815875
275,0.0127758266412787
276,0.004767643645539826
277,0.011096238480902331
278,0.00017288448175555306
279,0.006780798377479884
280,0.0105585177736342
281,0.0127758266412787
282,0.013150842222287575
283,0.00041232519082065947
284,0.006855993018339405
285,0.00041232519082065947
286,0.0022546576024454357
287,0.0022546576024454357
288,0.006153774397917877
289,0.00017288448175555306
290,0.00785188343401425
291,0.0021818817089124527
292,0.0012787538893160838
293,0.013150842222287575
294,0.006103797935586399
295,0.006855993018339405
296,0.006855993018339405
297,0.0
298,0.004767643645539826
299,0.001997841393282962
300,0.004767643645539826
301,0.00016722737272531975
302,0.012070609288296662
303,0.006969794203663065
304,0.014161911494415437
305,0.007271517792479148
306,0.012134542778175607
307,0.012330098337913827
308,0.0003401118544808731
309,0.02608673962054049
310,0.006326658879673645
311,0.00785188343401425
312,0.013150842222287575
313,0.023872065122179854
314,0.005008386145137504
315,0.0018306140205507702
316,0.002937029624988233
317,0.00785188343401425
318,0.003202828722712016
319,0.0105585177736342
320,0.022249806812077964
321,0.007023220391071834
322,0.002937029624988233
323,0.010033765142925359
324,0.006036911332146404
325,0.006969794203663065
326,0.003349354815815875
327,0.005008386145137504
328,0.0033700560954305417
329,0.0027698022522628695
330,0.008947295224464536
331,0.012134542778175607
332,0.005892078686920552
333,0.007984388418471529
334,0.010106541036458567
335,0.006969794203663065
336,0.013150842222287575
337,0.014801408788467321
338,0.006969794203663065
339,0.006780798377479884
340,0.0033700560954305417
341,0.002937029624988233
342,0.006443667827525014
343,0.00041232519082065947
344,0.004767643645539826
345,0.006855993018339405
346,0.0033700560954305417
347,0.002937029624988233
348,0.007263043747578717
349,0.006969794203663065
350,0.014119036765920096
351,0.006969794203663065
352,0.007984388418471529
353,0.0012787538893160838
354,0.0
355,0.00041232519082065947
356,0.006969794203663065
357,0.008030409895403809
358,0.004767643645539826
359,0.013629813521485954
360,0.012134542778175607
361,0.014032079685437729
362,0.013150842222287575
363,0.01599252551497264
364,0.022698178775731135
365,0.00041232519082065947
366,0.006969794203663065
367,0.02608673962054049
368,0.004179723102195999
369,0.011096238480902331
370,0.004767643645539826
371,0.0033700560954305417
372,0.014801408788467321
373,0.0002394407090651059
374,0.006780798377479884
375,0.013955681369601527
376,0.005008386145137504
377,0.004767643645539826
378,0.014161911494415437
379,0.0005795525635528325
380,0.008805177696896928
381,0.004012495729463737
382,0.011452053972653807
383,0.0033700560954305417
384,0.004767643645539826
385,0.012134542778175607
386,0.014286264138653347
387,0.006969794203663065
388,0.006153774397917877
389,0.013994684121695905
390,0.00785188343401425
391,0.006855993018339405
392,0.006855993018339405
393,0.004767643645539826
394,0.004767643645539826
395,0.008805177696896928
396,0.0022641866878834525
397,0.013150842222287575
398,0.013150842222287575
399,0.012134542778175607
400,0.0021818817089124527
401,0.00486377158901448
402,0.006969794203663065
403,0.00041232519082065947
404,0.006855993018339405
405,0.006855993018339405
406,0.0022546576024454357
407,0.006969794203663065
408,0.006855993018339405
409,0.005008386145137504
410,0.006969794203663065
411,0.0050253789977866125
